id,cartera_secretaria,id_nomenclatura,created_at,updated_at
1,SECRETARÍA GENERAL,1,NULL,NULL
2,SECRETARÍA DE ORGANIZACIÓN,1,NULL,NULL
3,SECRETARÍA DE TRABAJO Y CONFLICTOS,1,NULL,NULL
4,SECRETARÍA DE FINANZAS,1,NULL,NULL
5,SECRETARÍA DE PREVISIÓN Y ASISTENCIA SOCIAL,1,NULL,NULL
6,SECRETARÍA DE ESCALAFÓN Y PROMOCIÓN,1,NULL,NULL
7,SECRETARÍA DE ORIENTACIÓN IDEOLÓGICA SINDICAL,1,NULL,NULL
8,SECRETARÍA GENERAL,2,NULL,NULL
9,SECRETARÍA DE ORGANIZACIÓN,2,NULL,NULL
10,SECRETARÍA DE FINANZAS,2,NULL,NULL
11,SECRETARÍA DE PREVISIÓN Y ASISTENCIA SOCIAL,2,NULL,NULL
12,SECRETARÍA DE ORIENTACIÓN IDEOLÓGICA SINDICAL,2,NULL,NULL
13,SECRETARÍA DE CULTURA Y RECREACIÓN,2,NULL,NULL
14,SECRETARÍA DE VINCULACIÓN SOCIAL Y PROGRAMAS PRODUCTIVOS,2,NULL,NULL
15,REPRESENTANTE SINDICAL DE CENTRO DE TRABAJO,3,NULL,NULL
